fecha;estacion;direccion;precio
2026-03-21;REPSOL;AUTOVIA A-4 KM. 36,5;1.865
2026-03-21;REPSOL;AUTOVIA A-4 KM. 36,5;1.865
2026-03-21;REPSOL;CR A-4, 32;1.855
