fecha;estacion;direccion;precio
2026-03-07;REPSOL;AUTOVIA A-4 KM. 36,5;1.689
2026-03-07;REPSOL;CR A-4, 32;1.685
2026-03-08;REPSOL;AUTOVIA A-4 KM. 36,5;1.709
2026-03-08;REPSOL;CR A-4, 32;1.695
2026-03-09;REPSOL;AUTOVIA A-4 KM. 36,5;1.709
2026-03-09;REPSOL;CR A-4, 32;1.695
